City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,Sturgeon Falls,46.3646,-79.9326,42.1,87,99,4.12,CA,2022-04-26 23:35:31
307,Kaputa,-8.4689,29.6619,68.4,91,100,6.4,ZM,2022-04-26 23:35:31
308,Zalantun,48.0,122.7167,43.52,45,6,11.74,CN,2022-04-26 23:35:32
309,Awjilah,29.1081,21.2869,77.63,18,32,13.87,LY,2022-04-26 23:35:33
310,San Quintin,30.4833,-115.95,66.24,64,97,12.88,MX,2022-04-26 23:35:33
311,Kurilsk,45.2333,147.8833,43.74,96,100,8.99,RU,2022-04-26 23:35:34
312,Riachao Do Jacuipe,-11.8069,-39.3856,70.32,89,5,5.86,BR,2022-04-26 23:35:34
313,La Ronge,55.1001,-105.2842,44.85,23,0,18.41,CA,2022-04-26 23:35:35
314,Grindavik,63.8424,-22.4338,42.75,87,75,4.61,IS,2022-04-26 23:35:35
315,Cameta,-2.2444,-49.4958,75.49,94,100,5.73,BR,2022-04-26 23:35:36
316,Tuatapere,-46.1333,167.6833,55.13,81,88,5.86,NZ,2022-04-26 23:33:59
317,Vidra,44.2606,26.1697,61.2,68,90,5.14,RO,2022-04-26 23:35:36
318,Luanda,-8.8368,13.2343,75.6,90,100,6.55,AO,2022-04-26 23:35:37
319,Buchanan,5.8808,-10.0467,80.73,86,100,7.61,LR,2022-04-26 23:35:37
320,Bongandanga,1.5,21.05,68.63,100,100,1.32,CD,2022-04-26 23:35:38
321,Patacamaya,-17.2333,-67.9167,51.03,58,10,6.76,BO,2022-04-26 23:36:38
322,Kalmar,56.6616,16.3616,40.96,88,100,5.01,SE,2022-04-26 23:32:46
323,Kyabe,9.4515,18.9449,83.79,50,90,8.19,TD,2022-04-26 23:36:38
324,Shieli,44.1667,66.75,58.46,40,1,9.28,KZ,2022-04-26 23:36:39
325,Borshchiv,48.8033,26.0435,47.28,86,92,3.51,UA,2022-04-26 23:36:39
326,Yenagoa,4.9247,6.2642,78.03,94,88,3.65,NG,2022-04-26 23:36:40
327,Broome,42.2506,-75.833,50.97,85,100,11.5,US,2022-04-26 23:36:40
328,Assiniboia,49.6334,-105.9845,49.82,40,49,26.46,CA,2022-04-26 23:36:13
329,Bandar-E Lengeh,26.5579,54.8807,79.14,78,61,7.27,IR,2022-04-26 23:36:40
330,Hervey Bay,-25.2986,152.8535,77.02,70,99,5.01,AU,2022-04-26 23:36:41
331,Kismayo,-0.3582,42.5454,80.82,80,90,7.27,SO,2022-04-26 23:36:41
332,Bataipora,-22.2953,-53.2711,77.22,58,30,5.3,BR,2022-04-26 23:36:41
333,Saint-Francois,46.4154,3.9054,44.67,87,0,1.14,FR,2022-04-26 23:36:42
334,Mahibadhoo,3.7833,72.9667,83.75,72,56,1.74,MV,2022-04-26 23:36:42
335,Mombetsu,44.3525,143.3525,53.58,78,95,24.23,JP,2022-04-26 23:36:42
336,Sibolga,1.7427,98.7792,77.67,79,95,3.09,ID,2022-04-26 23:36:43
337,Beringovskiy,63.05,179.3167,32.32,99,100,7.85,RU,2022-04-26 23:36:43
338,Bam,29.106,58.357,77.99,26,89,8.23,IR,2022-04-26 23:36:43
339,Kyren,51.6828,102.1408,35.37,46,19,1.57,RU,2022-04-26 23:36:44
340,Husavik,66.0449,-17.3389,37.56,99,100,7.23,IS,2022-04-26 23:36:44
341,Antibes,43.5624,7.1278,58.98,85,75,13.8,FR,2022-04-26 23:35:38
342,Praia,14.9215,-23.5087,70.34,78,75,23.02,CV,2022-04-26 23:36:44
343,Kelheim,48.9167,11.8667,44.89,91,55,2.95,DE,2022-04-26 23:36:45
344,Saint-Denis,48.9167,2.3333,51.08,66,0,12.66,FR,2022-04-26 23:36:45
345,Mingaora,34.7758,72.3625,66.4,37,10,7.87,PK,2022-04-26 23:36:45
346,Boyolangu,-8.1181,111.8935,77.41,88,96,3.74,ID,2022-04-26 23:36:46
347,Hualmay,-11.0964,-77.6139,68.07,85,51,9.73,PE,2022-04-26 23:36:46
348,Katsuura,35.1333,140.3,69.82,90,100,26.69,JP,2022-04-26 23:36:46
349,Chor,25.5167,69.7667,82.71,50,0,12.08,PK,2022-04-26 23:36:47
350,Aktau,43.65,51.2,63.18,35,96,15.03,KZ,2022-04-26 23:36:47
351,Vila,42.0304,-8.1588,45.48,92,3,3.49,PT,2022-04-26 23:36:48
352,Nyurba,63.2842,118.3319,27.75,79,55,3.02,RU,2022-04-26 23:36:48
353,Ordu,40.9086,37.6845,37.9,80,24,3.89,TR,2022-04-26 23:36:48
354,Daru,-9.0763,143.2092,82.76,79,100,6.24,PG,2022-04-26 23:36:49
355,Labuhan,-6.8844,112.2051,80.02,83,100,5.7,ID,2022-04-26 23:36:49
356,Bereda,43.2686,-7.5406,49.57,100,62,0.92,ES,2022-04-26 23:36:49
357,Fukue,32.6881,128.8419,66.56,100,75,9.22,JP,2022-04-26 23:36:50
358,Lubumbashi,-11.6609,27.4794,58.98,93,87,4.09,CD,2022-04-26 23:36:50
359,Campo Grande,-20.4428,-54.6464,80.15,61,20,6.91,BR,2022-04-26 23:36:50
360,Klaksvik,62.2266,-6.589,36.52,68,95,5.5,FO,2022-04-26 23:36:51
361,Hobyo,5.3505,48.5268,82.94,67,63,7.54,SO,2022-04-26 23:33:58
362,Great Bend,38.3645,-98.7648,73.85,20,0,25.32,US,2022-04-26 23:36:51
363,Fort Pierce,27.4467,-80.3256,78.82,69,0,8.01,US,2022-04-26 23:33:34
364,Carutapera,-1.195,-46.02,76.3,91,97,7.92,BR,2022-04-26 23:36:52
