City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
79,Jamestown,42.097,-79.2353,54.99,93,100,10.36,US,heavy intensity rain
80,Teahupoo,-17.8333,-149.2667,76.96,74,48,9.15,PF,scattered clouds
81,Bengkulu,-3.8004,102.2655,76.78,87,100,3.76,ID,moderate rain
82,Noyabrsk,63.1994,75.4507,23.81,81,11,9.04,RU,few clouds
83,Arraial Do Cabo,-22.9661,-42.0278,85.96,65,0,10.36,BR,clear sky
84,Pangnirtung,66.1451,-65.7125,26.6,86,100,3.44,CA,light snow
85,Kousseri,12.0769,15.0306,98.51,16,17,8.34,CM,few clouds
86,Airai,-8.9266,125.4092,58.35,88,67,3.29,TL,broken clouds
87,Barra Do Garcas,-15.89,-52.2567,93.78,31,20,11.5,BR,few clouds
88,Saint-Ambroise,48.5501,-71.3324,61.11,33,70,5.75,CA,broken clouds
89,Blagoyevo,63.3667,47.9167,27.28,94,96,3.65,RU,overcast clouds
90,Ngorongoro,-3.2397,35.4875,51.84,93,38,4.9,TZ,scattered clouds
91,Prykolotne,50.1604,37.3474,44.02,59,60,4.03,UA,broken clouds
92,Skjervoy,70.0311,20.9714,35.6,65,100,10.89,NO,overcast clouds
93,Rundu,-17.9333,19.7667,67.42,43,36,5.08,NA,scattered clouds
94,Lebu,-37.6167,-73.65,55.2,79,78,15.66,CL,broken clouds
95,Ilulissat,69.2167,-51.1,21.79,66,63,3.33,GL,broken clouds
96,Hilo,19.7297,-155.09,75.27,97,100,6.91,US,moderate rain
97,Leeuwarden,53.2014,5.8086,51.01,77,37,9.22,NL,scattered clouds
98,Victoria,22.2855,114.1577,64.26,92,100,10.0,HK,moderate rain
99,Castro,-24.7911,-50.0119,70.05,77,43,6.4,BR,scattered clouds
100,Valparaiso,-33.0393,-71.6273,71.83,57,0,11.5,CL,clear sky
101,Beringovskiy,63.05,179.3167,14.27,91,96,13.42,RU,overcast clouds
102,Igurusi,-8.85,33.85,62.51,94,25,3.29,TZ,scattered clouds
103,Butaritari,3.0707,172.7902,81.57,76,45,12.66,KI,light rain
104,Havelock,34.8791,-76.9013,83.98,69,40,13.8,US,scattered clouds
